iter	Passed	Remaining
0	1	116
1	2	121
2	3	120
3	4	113
4	6	114
5	7	112
6	8	111
7	9	109
8	10	109
9	11	107
10	13	105
11	14	104
12	15	102
13	16	101
14	17	99
15	18	99
16	20	97
17	21	96
18	22	94
19	23	93
20	24	92
21	25	90
22	26	89
23	27	88
24	29	87
25	30	86
26	31	84
27	32	83
28	33	82
29	34	81
30	36	80
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	43	73
37	44	72
38	45	71
39	46	70
40	48	69
41	48	66
42	49	65
43	50	64
44	51	63
45	52	62
46	54	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	54
53	62	52
54	62	51
55	63	50
56	65	49
57	66	47
58	67	46
59	67	45
60	68	44
61	70	42
62	70	41
63	72	40
64	73	39
65	74	38
66	75	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	89	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	106	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
