iter	Passed	Remaining
0	161	161231
1	162	81289
2	164	54676
3	165	41317
4	167	33278
5	168	27922
6	170	24180
7	171	21327
8	173	19095
9	175	17333
10	176	15891
11	178	14676
12	179	13662
13	182	12822
14	184	12085
15	185	11433
16	188	10918
17	191	10456
18	194	10042
19	197	9671
20	200	9353
21	203	9051
22	206	8755
23	208	8484
24	211	8235
25	215	8054
26	217	7843
27	220	7670
28	223	7483
29	226	7326
30	229	7161
31	233	7068
32	237	6968
33	241	6852
34	244	6750
35	247	6629
36	251	6534
37	253	6416
38	256	6321
39	259	6230
40	263	6153
41	265	6054
42	269	5990
43	271	5907
44	275	5854
45	278	5771
46	281	5706
47	284	5637
48	286	5561
49	288	5484
50	290	5412
51	293	5358
52	295	5281
53	297	5205
54	299	5151
55	301	5085
56	302	5011
57	304	4944
58	305	4875
59	307	4813
60	308	4744
61	309	4678
62	311	4639
63	314	4593
64	315	4531
65	316	4477
66	317	4426
67	319	4377
68	320	4322
69	321	4267
70	322	4218
71	324	4177
72	325	4134
73	326	4087
74	327	4039
75	328	3997
76	330	3958
77	331	3912
78	332	3872
79	332	3826
80	333	3786
81	334	3749
82	335	3709
83	336	3674
84	338	3642
85	339	3606
86	341	3579
87	342	3549
88	344	3522
89	345	3496
90	347	3467
91	349	3447
92	351	3423
93	352	3393
94	353	3369
95	358	3377
96	362	3372
97	364	3355
98	366	3334
99	370	3330
100	378	3364
101	379	3344
102	382	3328
103	384	3308
104	385	3282
105	387	3268
106	389	3252
107	390	3228
108	392	3208
109	394	3195
110	395	3168
111	396	3142
112	397	3117
113	399	3101
114	400	3079
115	401	3058
116	402	3034
117	402	3010
118	403	2987
119	404	2964
120	405	2944
121	406	2925
122	407	2904
123	408	2883
124	409	2863
125	410	2844
126	411	2830
127	413	2816
128	414	2797
129	415	2777
130	417	2766
131	419	2756
132	419	2737
133	420	2719
134	421	2702
135	422	2686
136	424	2672
137	425	2657
138	426	2640
139	427	2623
140	428	2607
141	428	2591
142	430	2581
143	431	2567
144	433	2554
145	434	2540
146	435	2528
147	436	2514
148	437	2500
149	438	2487
150	439	2472
151	442	2467
152	443	2455
153	444	2442
154	445	2427
155	445	2412
156	446	2398
157	447	2384
158	448	2372
159	449	2359
160	449	2344
161	450	2330
162	451	2317
163	452	2304
164	453	2293
165	458	2301
166	459	2290
167	460	2280
168	461	2269
169	462	2258
170	463	2247
171	464	2235
172	465	2223
173	466	2213
174	467	2203
175	468	2194
176	469	2183
177	470	2172
178	471	2161
179	472	2152
180	473	2144
181	474	2134
182	475	2124
183	476	2114
184	477	2103
185	479	2098
186	480	2090
187	481	2079
188	482	2069
189	483	2059
190	483	2049
191	485	2041
192	486	2033
193	487	2027
194	488	2018
195	489	2008
196	490	1999
197	491	1990
198	492	1982
199	494	1976
200	495	1968
201	496	1961
202	499	1959
203	500	1951
204	501	1943
205	501	1934
206	502	1925
207	503	1917
208	504	1910
209	505	1902
210	507	1897
211	508	1888
212	509	1880
213	510	1873
214	511	1867
215	512	1860
216	513	1852
217	513	1843
218	514	1835
219	515	1828
220	516	1821
221	518	1815
222	518	1807
223	519	1799
224	520	1791
225	520	1783
226	521	1776
227	522	1768
228	523	1763
229	525	1758
230	525	1750
231	526	1743
232	527	1736
233	528	1731
234	530	1725
235	530	1718
236	531	1711
237	532	1704
238	533	1697
239	533	1690
240	535	1685
241	536	1679
242	537	1673
243	537	1666
244	538	1659
245	539	1652
246	539	1645
247	540	1639
248	542	1635
249	543	1630
250	544	1623
251	544	1617
252	545	1610
253	546	1606
254	549	1605
255	550	1600
256	551	1594
257	552	1588
258	553	1583
259	554	1578
260	555	1572
261	556	1566
262	556	1560
263	557	1554
264	558	1549
265	559	1545
266	560	1540
267	561	1534
268	562	1528
269	563	1522
270	563	1517
271	564	1512
272	565	1507
273	567	1503
274	568	1498
275	569	1493
276	569	1487
277	570	1482
278	571	1477
279	572	1473
280	573	1468
281	574	1463
282	575	1458
283	576	1452
284	578	1450
285	579	1446
286	580	1441
287	581	1436
288	581	1431
289	582	1427
290	584	1424
291	585	1419
292	586	1414
293	587	1409
294	587	1404
295	588	1399
296	589	1395
297	590	1391
298	592	1387
299	592	1383
300	593	1378
301	594	1373
302	595	1368
303	596	1364
304	597	1360
305	598	1357
306	599	1352
307	599	1347
308	600	1343
309	601	1339
310	603	1336
311	604	1332
312	605	1327
313	606	1324
314	606	1319
315	609	1318
316	610	1315
317	611	1311
318	612	1307
319	613	1302
320	614	1298
321	615	1295
322	616	1291
323	617	1287
324	617	1283
325	619	1279
326	620	1276
327	621	1273
328	622	1269
329	623	1265
330	624	1261
331	624	1257
332	625	1252
333	626	1249
334	627	1246
335	629	1243
336	630	1239
337	630	1235
338	631	1231
339	632	1228
340	634	1225
341	635	1222
342	636	1218
343	636	1214
344	637	1210
345	639	1208
346	640	1205
347	641	1202
348	642	1198
